id,product_name,price,reviews_count,avg_rate
1,Pack 12 Chaussettes Femmes ET Hommes 100 % Coton Bio Multi-Couleur,59.00 Dhs,67 avis vérifiés,59.00 Dhs
2,"Douchette Pomme Douche Salle de Bain, Rotation 360° +Filtre Purification d'eau",69.00 Dhs,43 avis vérifiés,69.00 Dhs
3,Adidas Core Baskets Advantage Base,535.00 Dhs,62 avis vérifiés,535.00 Dhs
4,Pepsi Boisson gazeuse 50cl x12 Pet,48.09 Dhs,0,48.09 Dhs
5,Adidas Sports Performance Chaussures Grand Court Base,479.00 Dhs,18 avis vérifiés,479.00 Dhs
6,Gervais Gervais - Fromage Carre 36 Pièces,57.50 Dhs,15 avis vérifiés,57.50 Dhs
7,L'Oréal Paris Hyaluron Expert - Sérum repulpant à l'acide hyaluronique - 30ml,105.00 Dhs,202 avis vérifiés,105.00 Dhs
8,"edyson Cuiseur Vapeur ""Healthy Steamer"", 9L+1L, 800w, 3 niveaux - Acier Inoxydable",239.00 Dhs,919 avis vérifiés,239.00 Dhs
9,"Itel Smart TV 32"" Android 11 OFFICIEL Bluetooth 5 Récepteur Intégré HDR","1,479.00 Dhs",35 avis vérifiés,"1,479.00 Dhs"
10,"Itel TV 32"" Récepteur Intégré LED HD TNT HDMI USB MODEL 2021","1,089.00 Dhs",45 avis vérifiés,"1,089.00 Dhs"
11,"Taurus Panini PHOENIX LEGEND,appareil à sandwichs 750W,anti-adhésives-2 ans de garantie",129.00 Dhs,4 avis vérifiés,129.00 Dhs
12,Maybelline Lash Sensational SKY HIGH - Mascara longueur illimité et volume intense,99.00 Dhs,23 avis vérifiés,99.00 Dhs
13,"Visio TV 32"" Pouces HD Led Récepteur intégré + TNT + HDMI + USB - Garantie 1 AN","1,183.00 Dhs",149 avis vérifiés,"1,183.00 Dhs"
14,Adidas Sports Performance Tensaur K,319.00 Dhs,0,319.00 Dhs
15,Garnier SkinActive - Sérum Fast Bright à la vitamine C booster d'éclat pour teint terne - 30ml,55.00 Dhs,129 avis vérifiés,55.00 Dhs
16,Maybelline New York Rouge à lèvres Mat Liquide - Longue tenue Superstay Matte Ink - 80 RULER - 5 ml,65.00 Dhs,84 avis vérifiés,65.00 Dhs
17,Adidas Sports Performance Sport Shoes Kids Advantage K,379.00 Dhs,8 avis vérifiés,379.00 Dhs
18,Garnier SkinActive - Eau micellaire pour peaux sensibles - 100ml,19.00 Dhs,278 avis vérifiés,19.00 Dhs
19,Mirinda Orange Mirinda - Orange 12x50cl,48.09 Dhs,0,48.09 Dhs
20,L'Oréal Paris Hyaluron Expert - Gel nettoyant à l'acide hyaluronique - 200ml,59.00 Dhs,155 avis vérifiés,59.00 Dhs
21,Adidas Chaussure Tensaur Enfants,319.00 Dhs,8 avis vérifiés,319.00 Dhs
22,Portefeuille Miniwallet anti détournement de données des cartes RFID Marron,69.79 Dhs,133 avis vérifiés,69.79 Dhs
23,Maybelline New York Rouge à lèvres Mat Liquide - Longue tenue Superstay Matte Ink PINKS - 170 INITIATOR - 5 ml,45.00 Dhs,106 avis vérifiés,45.00 Dhs
24,"aluminium tableaux islamique doré Sourat al ikhlas, Basmala et sadakalaho laadim",89.00 Dhs,2093 avis vérifiés,89.00 Dhs
25,Garnier Ultra Doux - Hair Food Masque Nourissant multi - Usages à la banane 390 ml,55.00 Dhs,162 avis vérifiés,55.00 Dhs
26,Adidas Sac à dos Daily II Unisexe,159.00 Dhs,19 avis vérifiés,159.00 Dhs
27,El Barco El Barco- Tripack Thon à L'huile Végétale 3x80g,15.90 Dhs,57 avis vérifiés,15.90 Dhs
28,"Maybelline New York Anti-cernes Correcteur Fluide - Fit Me - Tous types de peaux - 10 LIGHT - 6,8 ml",55.00 Dhs,47 avis vérifiés,55.00 Dhs
29,Maybelline New York Rouge à lèvre Mat Liquide - Longue tenue - Superstay Matte Ink PINKS - 15 LOVER - 5 ml,45.00 Dhs,451 avis vérifiés,45.00 Dhs
30,Adidas Claquette Adilette Aqua Unisexe,199.00 Dhs,11 avis vérifiés,199.00 Dhs
31,Maybelline New York Rouge à lèvres Sensationnal liquid matte - 06 Best Babe - 7 ml,35.00 Dhs,45 avis vérifiés,35.00 Dhs
